año,PIB_Real,inf_tim,tc_real,bm
3/31/2006,29018.5535947345,0.010943257495675,17.31,6590.42496
6/30/2006,28593.754016335,0.013124097633535,17.61,6804.85475666667
9/30/2006,29768.1642593291,0.004513328077343,17.37,7123.12812966667
12/31/2006,31457.2383358637,0.005535720003678,18.00,7680.518366
3/31/2007,30124.599368474,0.014535909748168,18.63,8027.118898
6/30/2007,29941.005653267,0.012939251703921,18.14,7860.263794
9/30/2007,31317.3302757402,0.009933925338293,17.86,8341.643224
12/31/2007,33487.3953958154,0.02654092958975,18.56,9121.443248
3/31/2008,31798.3167535115,0.023159721859629,18.52,9475.41911333333
6/30/2008,32147.1679706509,0.024608527880874,17.96,9602.44122466667
9/30/2008,32621.3511233713,0.017161182532243,17.28,9481.594239
12/31/2008,32593.6859196786,0.001144502641843,18.48,9850.53334866667
3/31/2009,30144.3992919851,0.000604048714843,20.40,9290.693504
6/30/2009,30215.4301305291,-0.000746946709393,21.04,9264.95137066667
9/30/2009,31564.6263877009,-0.001056704874711,20.44,9363.384098
12/31/2009,32983.2425000481,0.003829308039313,20.73,10743.0279576667
3/31/2010,31282.6162545539,0.010842148192698,21.09,11705.528423
6/30/2010,31181.9498057458,0.00640919619532,21.14,11222.970681
9/30/2010,33137.3820816006,0.002804542676715,22.70,11938.496216
12/31/2010,34814.3034251015,0.015079155587119,23.17,13080.4590696667
3/31/2011,32937.4532362044,0.006400624037552,23.89,13770.8991746667
6/30/2011,33669.1127376255,0.009699384793068,25.09,13710.3506006667
9/30/2011,35341.9282924149,0.00709677191921,24.42,14361.104233
12/31/2011,36705.7418337712,0.008830271676644,25.17,15925.5640776667
3/31/2012,35957.6597812576,0.009936786285272,25.68,17573.109174
6/30/2012,35179.08340218,0.006148842488283,25.81,16389.5727953333
9/30/2012,36897.8743017924,0.001404610818797,25.90,15951.123608
12/31/2012,39626.7870450444,0.009522453035144,26.04,18424.6866683333
3/31/2013,37240.244523691,0.013140312701355,24.89,17842.1270056667
6/30/2013,37722.2312690479,0.007133822671426,24.58,17632.889554
9/30/2013,39052.8755218488,0.002210197410695,24.82,17836.689415
12/31/2013,40921.4695762303,0.003890644835558,25.78,19301.2344473333
3/31/2014,39391.5160789554,0.008709696115202,25.07,19984.0515616667
6/30/2014,39116.7662260094,0.007487258735353,25.27,20696.803422
9/30/2014,40512.5985038085,0.008159230987303,25.99,19669.663046
12/31/2014,43330.3799182971,0.004793551636772,28.64,21754.2797156667
3/31/2015,41040.8938153601,0.003338104296191,33.27,24180.2203156667
6/30/2015,40203.7620451772,0.004477144822492,30.82,23577.089704
9/30/2015,42724.847476852,-0.000342176727392,32.32,22544.2803123333
12/31/2015,46162.0644106887,0.00404321777563,33.20,26244.474065
3/31/2016,42511.9402910833,0.006411167611068,34.38,27115.5000823333
6/30/2016,42975.9964131851,0.005262719002709,34.33,25564.7723566667
9/30/2016,44424.8854537046,0.000454628131374,35.22,26436.6754803333
12/31/2016,47982.0997575332,0.001879448292813,34.81,28028.5256013333
3/31/2017,45495.3487429761,0.007681323705555,35.41,28536.6487253333
6/30/2017,44819.3017497989,0.003278302710176,35.59,27574.4791016667
9/30/2017,45963.3563801528,0.002412516804867,35.98,27348.3272276667
12/31/2017,49855.5981049563,0.008374514705366,35.14,31619.2289686667
3/31/2018,46668.865942662,0.007131816865331,33.56,30728.9550733333
6/30/2018,42388.6015503678,0.004307379992166,33.94,30875.65118103
9/30/2018,43636.7609802542,0.001733955213505,32.84,29028.05761753
12/31/2018,46086.3929187813,0.005759150890194,32.58,28681.5658674633
3/31/2019,42528.1653647904,0.004889490350352,35.03,27643.2425916667
6/30/2019,41030.710147234,0.012096821988908,35.69,29603.534082
9/30/2019,42224.8120820109,0.002573868739666,36.57,27490.1124126667
12/31/2019,46062.1701590992,0.004782129713238,37.38,31653.1764253333
3/31/2020,43249.9122482281,0.004792186036077,41.10,32413.126451
6/30/2020,37772.9902528203,0.001810596407698,44.92,31768.8812756667
